iata,ident,name,city,state,type,latitude,longitude,elevation_ft,scheduled_service,runway_count,longest_runway_ft,source
ALS,KALS,San Luis Valley Regional Airport/Bergman Field,Alamosa,CO,medium_airport,37.434898,-105.866997,7539.0,yes,2,8521,OurAirports airports and runways cache
ALW,KALW,Walla Walla Regional Airport,Walla Walla,WA,medium_airport,46.09489822,-118.288002,1194.0,yes,3,6527,OurAirports airports and runways cache
ALZ,ALZ,Alitak Seaplane Base,Lazy Bay,AK,seaplane_base,56.897294,-154.249692,,yes,1,10000,OurAirports airports and runways cache
AMA,KAMA,Rick Husband Amarillo International Airport,Amarillo,TX,medium_airport,35.217857,-101.706444,3607.0,yes,2,13502,OurAirports airports and runways cache
ANC,PANC,Ted Stevens Anchorage International Airport,Anchorage,AK,large_airport,61.179004,-149.992561,152.0,yes,3,12400,OurAirports airports and runways cache
ANI,PANI,Aniak Airport,Aniak,AK,medium_airport,61.58160018920898,-159.54299926757812,88.0,yes,2,6200,OurAirports airports and runways cache
ANV,PANV,Anvik Airport,Anvik,AK,medium_airport,62.646702,-160.190994,291.0,yes,1,4000,OurAirports airports and runways cache
AOO,KAOO,Altoona Blair County Airport,Altoona,PA,medium_airport,40.296398,-78.32,1503.0,yes,2,5465,OurAirports airports and runways cache
AOS,AK81,Amook Bay Seaplane Base,Amook Bay,AK,seaplane_base,57.4715003967,-153.815002441,,yes,1,8000,OurAirports airports and runways cache
APN,KAPN,Alpena County Regional Airport,Alpena,MI,medium_airport,45.0780983,-83.56030273,690.0,yes,2,9001,OurAirports airports and runways cache
ARC,PARC,Arctic Village Airport,Arctic Village,AK,medium_airport,68.1147,-145.578995,2092.0,yes,1,4500,OurAirports airports and runways cache
ART,KART,Watertown International Airport,Watertown,NY,medium_airport,43.991901,-76.021698,325.0,yes,2,7001,OurAirports airports and runways cache
ASE,KASE,Aspen-Pitkin County Airport (Sardy Field),Aspen,CO,medium_airport,39.223202,-106.869003,7820.0,yes,1,8006,OurAirports airports and runways cache
ATK,PATQ,Atqasuk Edward Burnell Sr Memorial Airport,Atqasuk,AK,medium_airport,70.46704,-157.436013,96.0,yes,1,4370,OurAirports airports and runways cache
ATL,KATL,Hartsfield Jackson Atlanta International Airport,Atlanta,GA,large_airport,33.6367,-84.428101,1026.0,yes,5,12390,OurAirports airports and runways cache
ATT,4A2,Atmautluak Airport,Atmautluak,AK,small_airport,60.866699,-162.272996,17.0,yes,1,3000,OurAirports airports and runways cache
ATW,KATW,Appleton International Airport,Appleton,WI,medium_airport,44.258515,-88.519,918.0,yes,2,8003,OurAirports airports and runways cache
ATY,KATY,Watertown Regional Airport,Watertown,SD,medium_airport,44.91400146,-97.15470123,1749.0,yes,2,6898,OurAirports airports and runways cache
AUG,KAUG,Augusta State Airport,Augusta,ME,medium_airport,44.3205986023,-69.7973022461,352.0,yes,2,5002,OurAirports airports and runways cache
AUK,PAUK,Alakanuk Airport,Alakanuk,AK,small_airport,62.682653,-164.722481,10.0,yes,1,4000,OurAirports airports and runways cache
AUS,KAUS,Austin Bergstrom International Airport,Austin,TX,large_airport,30.197535,-97.662015,542.0,yes,2,12250,OurAirports airports and runways cache
AVL,KAVL,Asheville Regional Airport,Asheville,NC,medium_airport,35.435488,-82.541853,2165.0,yes,1,8002,OurAirports airports and runways cache
AVP,KAVP,Wilkes-Barre/Scranton International Airport,Wilkes-Barre/Scranton,PA,medium_airport,41.337064,-75.724232,962.0,yes,2,7502,OurAirports airports and runways cache
AZA,KIWA,Mesa Gateway Airport,Mesa,AZ,medium_airport,33.3078,-111.654999,1382.0,yes,3,10401,OurAirports airports and runways cache
AZO,KAZO,Kalamazoo/Battle Creek International Airport,Kalamazoo,MI,medium_airport,42.232105,-85.549637,874.0,yes,3,6502,OurAirports airports and runways cache
BDL,KBDL,Bradley International Airport,Hartford,CT,large_airport,41.938555,-72.688016,173.0,yes,3,9510,OurAirports airports and runways cache
BED,KBED,Laurence G Hanscom Field,Bedford,MA,medium_airport,42.470001,-71.289001,133.0,yes,2,7011,OurAirports airports and runways cache
BET,PABE,Bethel Airport,Bethel,AK,medium_airport,60.77980042,-161.8379974,126.0,yes,3,6400,OurAirports airports and runways cache
BFD,KBFD,Bradford Regional Airport,Bradford,PA,medium_airport,41.8031005859375,-78.64009857177734,2143.0,yes,2,6307,OurAirports airports and runways cache
BFF,KBFF,Western Neb. Rgnl/William B. Heilig Airport,Scottsbluff,NE,medium_airport,41.87400055,-103.5960007,3967.0,yes,2,8279,OurAirports airports and runways cache
BFI,KBFI,King County International Airport - Boeing Field,Seattle,WA,medium_airport,47.527042,-122.29995,21.0,yes,2,10007,OurAirports airports and runways cache
BFL,KBFL,Meadows Field,Bakersfield,CA,medium_airport,35.433601,-119.056999,510.0,yes,2,10849,OurAirports airports and runways cache
BGM,KBGM,Greater Binghamton/Edwin A Link field,Binghamton,NY,medium_airport,42.20869827,-75.97979736,1636.0,yes,2,7305,OurAirports airports and runways cache
BGR,KBGR,Bangor International Airport,Bangor,ME,medium_airport,44.806364,-68.826668,192.0,yes,1,11440,OurAirports airports and runways cache
BHB,KBHB,Hancock County-Bar Harbor Airport,Bar Harbor,ME,medium_airport,44.45000076,-68.3615036,83.0,yes,3,5200,OurAirports airports and runways cache
BHM,KBHM,Birmingham-Shuttlesworth International Airport,Birmingham,AL,large_airport,33.562877,-86.750712,650.0,yes,2,12007,OurAirports airports and runways cache
BID,KBID,Block Island State Airport,Block Island,RI,small_airport,41.168446,-71.578631,108.0,yes,1,2502,OurAirports airports and runways cache
BIH,KBIH,Eastern Sierra Regional Airport,Bishop,CA,medium_airport,37.3731,-118.363998,4124.0,yes,3,7498,OurAirports airports and runways cache
BIL,KBIL,Billings Logan International Airport,Billings,MT,medium_airport,45.808932,-108.541242,3652.0,yes,3,10518,OurAirports airports and runways cache
BIS,KBIS,Bismarck Municipal Airport,Bismarck,ND,medium_airport,46.772734,-100.746874,1661.0,yes,2,8794,OurAirports airports and runways cache
BJC,KBJC,Rocky Mountain Metropolitan Airport,Denver,CO,medium_airport,39.908798,-105.116997,5673.0,yes,3,9000,OurAirports airports and runways cache
BKC,PABL,Buckland Airport,Buckland,AK,small_airport,65.981598,-161.149002,31.0,yes,1,3200,OurAirports airports and runways cache
BKF,5Z9,Lake Brooks Seaplane Base,Katmai National Park,AK,seaplane_base,58.554798,-155.776993,36.0,yes,1,5000,OurAirports airports and runways cache
BKG,KBBG,Branson Airport,Branson,MO,medium_airport,36.532082,-93.200544,1302.0,yes,1,7140,OurAirports airports and runways cache
BKW,KBKW,Raleigh County Memorial Airport,Beaver,WV,medium_airport,37.7873,-81.124199,2504.0,yes,2,6750,OurAirports airports and runways cache
BLD,K61B,Boulder City Municipal Airport,Boulder City,NV,medium_airport,35.947161,-114.858799,2201.0,yes,3,5103,OurAirports airports and runways cache
BLI,KBLI,Bellingham International Airport,Bellingham,WA,medium_airport,48.79280090332031,-122.53800201416016,170.0,yes,1,6700,OurAirports airports and runways cache
BLV,KBLV,Scott AFB/Midamerica Airport,Belleville,IL,medium_airport,38.5452,-89.835197,459.0,yes,2,10000,OurAirports airports and runways cache
BMI,KBMI,Central Illinois Regional Airport at Bloomington-Normal,Bloomington/Normal,IL,medium_airport,40.4771,-88.915901,871.0,yes,3,8000,OurAirports airports and runways cache
BNA,KBNA,Nashville International Airport,Nashville,TN,large_airport,36.1245,-86.6782,599.0,yes,4,11030,OurAirports airports and runways cache
BOI,KBOI,Boise Air Terminal/Gowen Field,Boise,ID,large_airport,43.5644,-116.223,2871.0,yes,3,10000,OurAirports airports and runways cache
BOS,KBOS,Boston Logan International Airport,Boston,MA,large_airport,42.36197,-71.0079,20.0,yes,6,10083,OurAirports airports and runways cache
BPT,KBPT,Jack Brooks Regional Airport,Beaumont/Port Arthur,TX,medium_airport,29.9508,-94.020699,15.0,yes,2,6751,OurAirports airports and runways cache
