iata,ident,runway_count,longest_runway_ft,source
PVU,KPVU,2,8603,OurAirports airports and runways cache
PWM,KPWM,2,7200,OurAirports airports and runways cache
RAP,KRAP,2,8701,OurAirports airports and runways cache
RBY,PARY,1,4000,OurAirports airports and runways cache
RCE,WA09,2,4300,OurAirports airports and runways cache
RDD,KRDD,2,7003,OurAirports airports and runways cache
RDM,KRDM,2,7038,OurAirports airports and runways cache
RDU,KRDU,3,10000,OurAirports airports and runways cache
RDV,RDV,1,4820,OurAirports airports and runways cache
RFD,KRFD,2,10002,OurAirports airports and runways cache
RHI,KRHI,3,6800,OurAirports airports and runways cache
RIC,KRIC,3,9003,OurAirports airports and runways cache
RIW,KRIW,2,8204,OurAirports airports and runways cache
RKD,KRKD,2,5412,OurAirports airports and runways cache
RKS,KRKS,2,10002,OurAirports airports and runways cache
RMP,RMP,1,3520,OurAirports airports and runways cache
RNO,KRNO,3,11001,OurAirports airports and runways cache
ROA,KROA,2,6800,OurAirports airports and runways cache
ROC,KROC,3,8001,OurAirports airports and runways cache
ROW,KROW,3,13000,OurAirports airports and runways cache
RSH,PARS,2,3600,OurAirports airports and runways cache
RSJ,W49,2,10000,OurAirports airports and runways cache
RST,KRST,2,9034,OurAirports airports and runways cache
RSW,KRSW,1,12000,OurAirports airports and runways cache
RUT,KRUT,2,5304,OurAirports airports and runways cache
SAF,KSAF,3,8366,OurAirports airports and runways cache
SAN,KSAN,1,9401,OurAirports airports and runways cache
SAT,KSAT,3,8505,OurAirports airports and runways cache
SAV,KSAV,2,9351,OurAirports airports and runways cache
SBA,KSBA,3,6037,OurAirports airports and runways cache
SBD,KSBD,1,10000,OurAirports airports and runways cache
SBN,KSBN,3,8412,OurAirports airports and runways cache
SBP,KSBP,2,6101,OurAirports airports and runways cache
SBY,KSBY,2,6400,OurAirports airports and runways cache
SCC,PASC,1,6500,OurAirports airports and runways cache
SCE,KUNV,1,6701,OurAirports airports and runways cache
SCK,KSCK,2,10245,OurAirports airports and runways cache
SCM,PACM,2,10000,OurAirports airports and runways cache
SDF,KSDF,3,11887,OurAirports airports and runways cache
SDP,PASD,1,4000,OurAirports airports and runways cache
SDY,KSDY,2,5705,OurAirports airports and runways cache
SEA,KSEA,4,11901,OurAirports airports and runways cache
SFB,KSFB,4,11002,OurAirports airports and runways cache
SFO,KSFO,4,11870,OurAirports airports and runways cache
SGF,KSGF,2,8000,OurAirports airports and runways cache
SGU,KSGU,1,9300,OurAirports airports and runways cache
SGY,PAGY,1,3550,OurAirports airports and runways cache
SHD,KSHD,1,6002,OurAirports airports and runways cache
SHG,PAGH,1,4000,OurAirports airports and runways cache
SHH,PASH,1,4997,OurAirports airports and runways cache
SHR,KSHR,3,8301,OurAirports airports and runways cache
SHV,KSHV,2,8348,OurAirports airports and runways cache
SIT,PASI,1,7200,OurAirports airports and runways cache
SJC,KSJC,3,11000,OurAirports airports and runways cache
SJT,KSJT,3,8054,OurAirports airports and runways cache
SKK,PFSH,1,4001,OurAirports airports and runways cache
SLC,KSLC,4,12002,OurAirports airports and runways cache
SLE,KSLE,2,5811,OurAirports airports and runways cache
SLK,KSLK,2,6573,OurAirports airports and runways cache
SLN,KSLN,4,12301,OurAirports airports and runways cache
SLQ,PASL,1,3100,OurAirports airports and runways cache
SMF,KSMF,2,8605,OurAirports airports and runways cache
SMK,PAMK,1,4001,OurAirports airports and runways cache
SMN,KSMN,1,5510,OurAirports airports and runways cache
SMX,KSMX,2,8004,OurAirports airports and runways cache
SNA,KSNA,2,5700,OurAirports airports and runways cache
SNP,PASN,1,6500,OurAirports airports and runways cache
SOV,PASO,1,1845,OurAirports airports and runways cache
SOW,KSOW,2,7202,OurAirports airports and runways cache
SPI,KSPI,3,8001,OurAirports airports and runways cache
SPS,KSPS,4,13100,OurAirports airports and runways cache
SQL,KSQL,1,2621,OurAirports airports and runways cache
SRQ,KSRQ,2,9500,OurAirports airports and runways cache
SRV,SRV,1,2601,OurAirports airports and runways cache
SSW,7WA5,1,2000,OurAirports airports and runways cache
STC,KSTC,2,7500,OurAirports airports and runways cache
STG,PAPB,1,4982,OurAirports airports and runways cache
STL,KSTL,4,11020,OurAirports airports and runways cache
STS,KSTS,2,6000,OurAirports airports and runways cache
SUN,KSUN,1,7550,OurAirports airports and runways cache
SUX,KSUX,2,9002,OurAirports airports and runways cache
SVA,PASA,1,4400,OurAirports airports and runways cache
SVC,KSVC,4,6803,OurAirports airports and runways cache
SVS,SVS,1,4000,OurAirports airports and runways cache
SWF,KSWF,2,11817,OurAirports airports and runways cache
SWO,KSWO,3,7401,OurAirports airports and runways cache
SXP,SXP,3,15000,OurAirports airports and runways cache
SYB,SYB,0,0,OurAirports airports and runways cache
SYR,KSYR,3,9013,OurAirports airports and runways cache
TAL,PATA,1,4400,OurAirports airports and runways cache
TBN,KTBN,1,6037,OurAirports airports and runways cache
TCT,TCT,1,3300,OurAirports airports and runways cache
TEB,KTEB,2,6997,OurAirports airports and runways cache
TEK,7KA,2,8000,OurAirports airports and runways cache
TEX,KTEX,1,7111,OurAirports airports and runways cache
TIW,KTIW,1,5002,OurAirports airports and runways cache
TKE,TKE,1,10000,OurAirports airports and runways cache
TKF,KTRK,2,7001,OurAirports airports and runways cache
TKJ,PFTO,1,2509,OurAirports airports and runways cache
TLA,PATE,1,2983,OurAirports airports and runways cache
TLH,KTLH,2,8000,OurAirports airports and runways cache
TLT,TLT,2,3300,OurAirports airports and runways cache
TNC,PATC,1,4702,OurAirports airports and runways cache
TNK,4KA,1,1778,OurAirports airports and runways cache
TOG,PATG,2,4400,OurAirports airports and runways cache
TOL,KTOL,2,10600,OurAirports airports and runways cache
TPA,KTPA,3,11002,OurAirports airports and runways cache
TRI,KTRI,2,8000,OurAirports airports and runways cache
TSM,KSKX,1,5504,OurAirports airports and runways cache
TSS,6N5,4,44,OurAirports airports and runways cache
TTN,KTTN,2,6006,OurAirports airports and runways cache
TUL,KTUL,3,10000,OurAirports airports and runways cache
TUP,KTUP,1,7150,OurAirports airports and runways cache
TUS,KTUS,3,10996,OurAirports airports and runways cache
TVC,KTVC,3,7016,OurAirports airports and runways cache
TVF,KTVF,2,6504,OurAirports airports and runways cache
TWA,A63,1,3000,OurAirports airports and runways cache
TWF,KTWF,2,8704,OurAirports airports and runways cache
TXK,KTXK,2,6602,OurAirports airports and runways cache
TYR,KTYR,3,8334,OurAirports airports and runways cache
TYS,KTYS,2,10000,OurAirports airports and runways cache
UGI,WSJ,1,10000,OurAirports airports and runways cache
UIN,KUIN,3,7098,OurAirports airports and runways cache
UNK,PAUN,2,5900,OurAirports airports and runways cache
USA,KJQF,1,7402,OurAirports airports and runways cache
UST,KSGJ,7,12000,OurAirports airports and runways cache
UTO,PAIM,1,4100,OurAirports airports and runways cache
VAK,PAVA,2,3220,OurAirports airports and runways cache
VCT,KVCT,4,9111,OurAirports airports and runways cache
VDZ,PAVD,1,6500,OurAirports airports and runways cache
VEE,PAVE,1,4000,OurAirports airports and runways cache
VEL,KVEL,2,7000,OurAirports airports and runways cache
VLD,KVLD,3,8003,OurAirports airports and runways cache
VPS,KVPS,2,12004,OurAirports airports and runways cache
VRB,KVRB,3,7314,OurAirports airports and runways cache
WAA,PAIW,1,3990,OurAirports airports and runways cache
WBB,WBB,1,2999,OurAirports airports and runways cache
WBQ,PAWB,1,3934,OurAirports airports and runways cache
WDN,90WA,1,2700,OurAirports airports and runways cache
WFB,5KE,1,3893,OurAirports airports and runways cache
WHD,4Z7,1,10000,OurAirports airports and runways cache
WKK,5A8,1,2030,OurAirports airports and runways cache
WLK,PASK,2,3002,OurAirports airports and runways cache
WMO,PAWM,1,3000,OurAirports airports and runways cache
WNA,PANA,1,3248,OurAirports airports and runways cache
WRG,PAWG,1,6000,OurAirports airports and runways cache
WSN,PFWS,2,3314,OurAirports airports and runways cache
WST,KWST,2,4010,OurAirports airports and runways cache
WSX,WA83,2,5000,OurAirports airports and runways cache
WTK,PAWN,1,3992,OurAirports airports and runways cache
WTL,A61,1,3005,OurAirports airports and runways cache
WWP,96Z,1,10000,OurAirports airports and runways cache
WWT,PAEW,1,3300,OurAirports airports and runways cache
WYS,KWYS,1,8400,OurAirports airports and runways cache
XNA,KXNA,2,8801,OurAirports airports and runways cache
XWA,KXWA,1,7503,OurAirports airports and runways cache
YAK,PAYA,2,7732,OurAirports airports and runways cache
YKM,KYKM,2,7604,OurAirports airports and runways cache
YUM,KNYL,4,13300,OurAirports airports and runways cache
