iata,ident,runway_count,longest_runway_ft,source
CLT,KCLT,4,10000,OurAirports airports and runways cache
CMH,KCMH,2,10114,OurAirports airports and runways cache
CMI,KCMI,4,8101,OurAirports airports and runways cache
CMX,KCMX,2,6501,OurAirports airports and runways cache
CNM,KCNM,4,7854,OurAirports airports and runways cache
CNY,KCNY,1,7360,OurAirports airports and runways cache
COD,KCOD,1,8268,OurAirports airports and runways cache
COS,KCOS,3,13500,OurAirports airports and runways cache
COU,KCOU,2,7401,OurAirports airports and runways cache
CPR,KCPR,4,10165,OurAirports airports and runways cache
CRP,KCRP,2,7510,OurAirports airports and runways cache
CRW,KCRW,2,6715,OurAirports airports and runways cache
CSG,KCSG,2,6997,OurAirports airports and runways cache
CVG,KCVG,4,12001,OurAirports airports and runways cache
CVN,KCVN,3,7200,OurAirports airports and runways cache
CWA,KCWA,2,7723,OurAirports airports and runways cache
CWS,78WA,1,1600,OurAirports airports and runways cache
CYF,PACK,2,3720,OurAirports airports and runways cache
CYM,CYM,1,10000,OurAirports airports and runways cache
CYS,KCYS,2,9270,OurAirports airports and runways cache
CYT,PACY,1,4350,OurAirports airports and runways cache
DAB,KDAB,3,10500,OurAirports airports and runways cache
DAL,KDAL,3,8800,OurAirports airports and runways cache
DAY,KDAY,3,10901,OurAirports airports and runways cache
DBQ,KDBQ,2,6502,OurAirports airports and runways cache
DCA,KDCA,3,7169,OurAirports airports and runways cache
DDC,KDDC,2,6899,OurAirports airports and runways cache
DEC,KDEC,3,8496,OurAirports airports and runways cache
DEN,KDEN,6,16000,OurAirports airports and runways cache
DFW,KDFW,7,13401,OurAirports airports and runways cache
DHB,DHB,1,4001,OurAirports airports and runways cache
DHN,KDHN,2,8500,OurAirports airports and runways cache
DIK,KDIK,2,7301,OurAirports airports and runways cache
DIO,DM2,1,64,OurAirports airports and runways cache
DJT,KPBI,3,10001,OurAirports airports and runways cache
DLG,PADL,1,6400,OurAirports airports and runways cache
DLH,KDLH,2,10591,OurAirports airports and runways cache
DOV,KDOV,2,12903,OurAirports airports and runways cache
DRG,PADE,2,3320,OurAirports airports and runways cache
DRO,KDRO,1,9201,OurAirports airports and runways cache
DSI,KDTS,1,5001,OurAirports airports and runways cache
DSM,KDSM,2,9004,OurAirports airports and runways cache
DTR,WN07,1,2550,OurAirports airports and runways cache
DTW,KDTW,6,12003,OurAirports airports and runways cache
DUJ,KDUJ,1,5503,OurAirports airports and runways cache
DUT,PADU,1,4500,OurAirports airports and runways cache
DVL,KDVL,2,6400,OurAirports airports and runways cache
EAA,PAEG,1,3600,OurAirports airports and runways cache
EAR,KEAR,2,7094,OurAirports airports and runways cache
EAT,KEAT,2,7000,OurAirports airports and runways cache
EAU,KEAU,2,8101,OurAirports airports and runways cache
ECP,KECP,1,10000,OurAirports airports and runways cache
EDA,EDA,0,0,OurAirports airports and runways cache
EEK,PAEE,1,3243,OurAirports airports and runways cache
EGE,KEGE,2,9000,OurAirports airports and runways cache
EGX,PAII,2,5600,OurAirports airports and runways cache
EKO,KEKO,2,7214,OurAirports airports and runways cache
ELD,KELD,3,6601,OurAirports airports and runways cache
ELI,PFEL,1,3401,OurAirports airports and runways cache
ELM,KELM,3,8001,OurAirports airports and runways cache
ELP,KELP,3,12020,OurAirports airports and runways cache
ELV,PAEL,1,10000,OurAirports airports and runways cache
EMK,PAEM,1,4601,OurAirports airports and runways cache
ENA,PAEN,3,7855,OurAirports airports and runways cache
ERI,KERI,2,8420,OurAirports airports and runways cache
ESC,KESC,2,6498,OurAirports airports and runways cache
ESD,KORS,1,2901,OurAirports airports and runways cache
EUG,KEUG,3,8009,OurAirports airports and runways cache
EVV,KEVV,3,8021,OurAirports airports and runways cache
EWB,KEWB,2,5400,OurAirports airports and runways cache
EWN,KEWN,2,6452,OurAirports airports and runways cache
EWR,KEWR,3,11000,OurAirports airports and runways cache
EXI,EXI,1,1000,OurAirports airports and runways cache
EYW,KEYW,1,5076,OurAirports airports and runways cache
FAI,PAFA,4,11800,OurAirports airports and runways cache
FAR,KFAR,3,9001,OurAirports airports and runways cache
FAT,KFAT,2,9539,OurAirports airports and runways cache
FAY,KFAY,2,7709,OurAirports airports and runways cache
FBS,W33,2,10000,OurAirports airports and runways cache
FCA,KGPI,3,9007,OurAirports airports and runways cache
FLG,KFLG,1,8800,OurAirports airports and runways cache
FLL,KFLL,2,9000,OurAirports airports and runways cache
FLO,KFLO,2,6502,OurAirports airports and runways cache
FNR,PANR,1,10500,OurAirports airports and runways cache
FNT,KFNT,2,7852,OurAirports airports and runways cache
